Information given at epoch of 00:00h Jan 1, 2018 UTC
Vehicle number	a(km)   e   i(deg)  RAN(deg)    AP (deg)    M_o(deg)
1       7950.1            0      45    45         40          290
2       7950.1            0      45    90         40          290
3       7950.1            0      45    135        40          290
4       7950.1            0      45    180        40          290
5       7950.1            0      45    225        40          290
6       7950.1            0      45    270        40          290
7       7950.1            0      45    315        40          290
8       7950.1            0      45    360        40          290
9       7950.1            0      45    45         40          110
10      7950.1            0      45    90         40          110
11      7950.1            0      45    135        40          110
12      7950.1            0      45    180        40          110
13      7950.1            0      45    225        40          110
14      7950.1            0      45    270        40          110
15      7950.1            0      45    315        40          110
16      7950.1            0      45    360        40          110
17      7950.1            0      45    45         40          50
18      7950.1            0      45    90         40          50
19      7950.1            0      45    135        40          50
20      7950.1            0      45    180        40          50
21      7950.1            0      45    225        40          50
22      7950.1            0      45    270        40          50
23      7950.1            0      45    315        40          50
24      7950.1            0      45    360        40          50
