Information given at epoch of 00:00h Jan 1, 2018 UTC
Vehicle number	a(km)   e   i(deg)  RAN(deg)    AP (deg)    M_o(deg)
1       7678.1          0      45    45         40          290
2       7678.1          0      45    90         40          290
3       7678.1          0      45    135        40          290
4       7678.1          0      45    180        40          290
5       7678.1          0      45    225        40          290
6       7678.1          0      45    270        40          290
7       7678.1          0      45    315        40          290
8       7678.1          0      45    360        40          290
9       7678.1          0      45    45         40          110
10      7678.1          0      45    90         40          110
11      7678.1          0      45    135        40          110
12      7678.1          0      45    180        40          110
13      7678.1          0      45    225        40          110
14      7678.1          0      45    270        40          110
15      7678.1          0      45    315        40          110
16      7678.1          0      45    360        40          110
